FoodID,FoodDescription,FoodDescriptionF,ConversionFactorValue
109,"Cheese, gouda",Fromage gouda,0.3
110,"Cheese, mozzarella, (52% water, 22.5% M.F.)","Fromage mozzarella, (52% eau, 22.5% M.G.)",0.3
111,"Cheese, mozzarella, partially skim, (52% water, 16.5% M.F.)","Fromage mozzarella, partiellement écrémé, (52% eau, 16.5% M.G.)",0.3
112,"Milk, evaporated, skim, canned, undiluted, 0.2% M.F.","Lait, concentré, écrémé, conserve, non dilué, 0.2% M.G.",1.33136
113,"Milk, fluid, whole, pasteurized, homogenized, 3.25% M.F.","Lait, liquide, entier, homogénéisé, pasteurisé, 3.25% M.G.",2.57819
114,"Milk, fluid, skim","Lait, liquide, écrémé",2.58876
115,"Milk, dry, skim, powder, instant","Lait, poudre, écrémé, instant",0.01447
116,"Hot chocolate, cocoa, homemade, prepared with whole milk","Chocolat chaud, cacao, fait maison, préparé avec lait entier",1.8491
117,"Egg substitute, frozen (yolk replaced)","Oeuf, succédané, congelé (jaune remplacé)",1.26796
118,"Butter, regular","Beurre, salé",1.135
119,"Cheese, cheddar",Fromage cheddar,0.3
120,"Cheese, cottage, (2% M.F.)","Fromage cottage, (2% M.G.)",1.25
122,"Coffee whitener (non dairy), powdered","Colorant à café (non laitier), en poudre",0.01987
123,"Milk, fluid, whole, producer, 3.7% M.F.","Lait, liquide, entier, agriculteur, 3.7% M.G.",2.57819
124,"Milk, fluid, buttermilk, cultured, 1% M.F.","Babeurre, liquide, culture, 1% M.G.",2.58876
125,"Egg, chicken, whole, fresh or frozen, raw","Oeuf, poule, entier, frais ou congelé, cru",0.3349
126,"Egg, chicken, white, fresh or frozen, raw","Oeuf, poule, blanc, frais ou congelé, cru",0.238
127,"Egg, chicken, yolk, fresh or frozen, raw","Oeuf, poule, jaune, frais ou congelé, cru",0.25
129,"Egg, chicken, whole, cooked, fried","Oeuf, poule, entier, cuit, frit",0.92
130,"Egg, chicken, whole, cooked, boiled in shell, hard-cooked","Oeuf, poule, entier, cuit, bouilli à la coque, dur",1.0
132,"Egg, chicken, whole, cooked, poached","Oeuf, poule, entier, cuit, poché",1.0
133,"Egg, chicken, whole, cooked, scrambled or omelet","Oeuf, poule, entier, cuit, brouillé ou omelette",1.22
134,"Milk, dry, skim, powder, regular","Lait, en poudre, écrémé",0.25
136,"Cream, table (coffee), 18% M.F.","Crème à café (crème de table), 18% M.G.",1.26796
137,"Cream, whipping, 32% M.F.","Crème à fouetter, 32% M.G.",0.15
138,"Cream, whipping, 35% M.F.","Crème à fouetter, 35% M.G.",0.15
139,"Cream, sour, cultured, 14% M.F","Crème sure, de culture, 14% M.G.",0.29164
140,"Milk, evaporated, whole, canned, undiluted, 7.8% M.F.","Lait, concentré, entier, conserve, non dilué, 7,8% M.G.",0.15976
147,"Cheese, cottage, uncreamed, dry, large or small curd, nonfat","Fromage cottage sec, pressé, sans gras, gros et petit grain",1.25
150,"Cream, cereal (half and half), 10% M.F.","Crème à céréales (moitié-moitié), 10% M.G.",1.27852
151,"Cream, table (coffee), 15% M.F.","Crème, à café (de table), 15% M.G.",1.26796
152,"Cream, sour, cultured, 18% M.F.","Crème sure, de culture, 18% M.G.",0.29164
153,"Milk, evaporated, partly skimmed, canned, undiluted, 2% M.F.","Lait, concentré, partiellemente écrémé, conserve, non dilué, 2% M.G.",0.15976
160,"Cheese, calorie-reduced (6% M.F.)","Fromage, réduit en calories (6% M.G.)",0.3
163,"Cream, table (coffee), 20% M.F.",Crème de table (à café) 20% M.G.,1.26797
164,"Dessert, frozen yogourt","Dessert, congelé, yogourt glacé",0.91927
169,"Spices, allspice, ground","Épices, piments de la jamaïque, moulu",0.005
170,"Spices, anise seeds","Épices, anis, graines",0.005
171,"Spices, basil, dried","Épices, basilic, déshydraté",0.005
172,"Spices, bay leaf","Épices, laurier, feuilles",0.005
173,"Spices, caraway seed","Épices, carvi, graines",0.005
174,"Spices, cardamom, ground","Épices, cardamome, moulue",0.005
175,"Spices, celery seed","Épices, céleri, graines",0.005
176,"Spices, chervil, dried","Épices, cerfeuil, déshydraté",0.005
177,"Spices, chili powder","Épices, chili, poudre",0.005
178,"Spices, cinnamon, ground","Épices, cannelle, moulue",0.005
179,"Spices, cloves, ground","Épices, clou de girofle, moulu",0.02198
180,"Spices, coriander leaf (cilantro), dried","Épices, coriandre (cilantro), feuilles, déshydraté",0.005
181,"Spices, coriander seed (cilantro)","Épices, coriandre (cilantro), graines",0.005
182,"Spices, cumin seed","Épices, cumin, graines",0.005
183,"Spices, curry powder","Épices, cari, poudre",0.005
184,"Spices, dill seed","Épices, aneth, graines",0.005
185,"Spices, dill weed, dried","Épices, aneth, déshydraté",0.005
186,"Spices, fennel seed","Épices, fenouil, graines",0.005
187,"Spices, fenugreek seed","Épices, fenugrec, graines",0.005
188,"Spices, garlic powder","Épices, ail, poudre",0.005
189,"Spices, ginger, ground","Épices, gingembre, moulu",0.005
190,"Spices, mace, ground","Épices, macis, moulu",0.005
191,"Spices, marjoram, dried","Épices, marjolaine, déshydratée",0.005
192,"Spices, mustard seed, yellow","Épices, graines de moutarde, jaunes",0.005
193,"Spices, nutmeg, ground","Épices, muscade, moulue",0.005
194,"Spices, onion powder","Épices, oignon, poudre",0.005
195,"Spices, oregano, ground","Épices, origan, moulu",0.005
196,"Spices, paprika","Épices, paprika",0.005
197,"Spices, parsley, dried","Épices, persil, déshydraté",0.005
198,"Spices, pepper, black","Épices, poivre, noir",0.02942
199,"Spices, pepper, red or cayenne","Épices, piment rouge ou de cayenne",0.005
200,"spices, pepper, white","Épices, poivre, blanc",0.005
201,"Spices, poppy seed","Épices, pavot, graines",0.005
202,"Spices, poultry seasoning","Épices, assaisonnement pour volaille",0.005
203,"Spices, pumpkin pie spice","Épices, assaisonnement pour tarte à la citrouille",0.005
204,"Spices, rosemary, dried","Épices, romarin, déshydraté",0.005
205,"Spices, saffron","Épices, safran",0.005
206,"Spices, sage, ground","Épices, sauge, moulue",0.005
207,"Spices, savory, ground","Épices, sarriette, moulue",0.005
209,"Spices, tarragon, dried","Épices, estragon, déshydraté",0.005
210,"Spices, thyme, dried","Épices, thym, déshydraté",0.005
211,"Spices, turmeric, ground","Épices, curcuma, moulu",0.005
212,"Basil, fresh","Basilic, frais",0.03043
213,"Spices, dill weed, fresh","Épices, aneth, frais",0.005
214,"Salt, table","Sel, table",0.01
215,"Spices, thyme, fresh","Épices, thym, frais",0.005
216,Vanilla extract,"Vanille, extrait",0.04286
217,"Vanilla extract, imitation, with alcohol","Vanille, extrait, imitation, avec alcool",0.04286
218,"Vanilla extract, imitation, without alcohol","Vanille, extrait, imitation, sans alcool",0.04286
219,"Grains, barley, malt extract, dried","Grains céréaliers, orge, malt, extrait, déshydraté",0.45
232,"Babyfood, snack, biscuit, mixed grain","Aliments pour bébé, grignotises, biscuit, mélange de grains",0.1681
283,"Babyfood, cereal, barley, with milk powder, dry","Bébé, céréale, orge, avec poudre de lait, sèche",0.07
285,"Babyfood, cereal, mixed grain, dry","Bébé, céréale, mélange de grains, sèche",0.069
286,"Babyfood, cereal, mixed grain, prepared with formula or breast milk","Bébé, céréale, mélange de grains, préparée avec préparation pour nourrissons ou lait maternel",0.4478
287,"Babyfood, cereal, mixed grain, with milk powder and fruit, dry","Bébé, céréale, mélange de grains, avec poudre de lait et fruits, sèche",0.068
291,"Babyfood, cereal, oat, dry","Bébé, céréale, avoine, sèche",0.054
293,"Babyfood, cereal, rice, with milk powder and fruit, dry","Bébé, céréale, riz, avec poudre de lait et fruits, sèche",0.0644
394,"Babyfood, cereal, rice, dry","Bébé, céréale, riz, sèche",0.0559
414,"Animal fat, beef tallow","Gras animal, suif de boeuf (gras de boeuf)",0.1
415,"Sandwich spread, with chopped pickle, regular, unspecified oil","Tartinade pour sandwich, avec cornichons hachés, ordinaire, huile non spécifiée",0.30405
416,"Vegetable oil, rice bran","Huile végétale, son de riz",0.09214
417,"Vegetable oil, wheat germ","Huile végétale, germe de blé",0.09214
418,"Vegetable oil, peanut","Huile végétale, arachide",0.09129
419,"Vegetable oil, soybean","Huile végétale, soya",0.09214
420,"Vegetable oil, coconut","Huile végétale, noix de coco",0.09214
422,"Vegetable oil, olive","Huile végétale, olive",0.09129
423,"Vegetable oil, palm","Huile végétale, palme",0.09129
424,"Vegetable oil, sesame","Huile végétale, sésame",0.09214
426,"Salad dressing, french, homemade, unspecified oil","Vinaigrette, française, faite maison, huile non spécifiée",0.2838
428,"Salad dressing, oil and vinegar, homemade","Vinaigrette, huile et vinaigre, faite maison",0.32432
429,"Vegetable oil, cocoa butter","Huile végétale, beurre de cacao",0.09214
430,"Vegetable oil, cottonseed","Huile végétale, graine de coton",0.09214
432,"Vegetable oil, safflower, linoleic (70% and over)","Huile végétale, carthame, acide linoléique (70% et plus)",0.09214
433,"Vegetable oil, safflower, oleic (70% and over)","Huile végétale, carthame, acide oléique (70% et plus)",0.09214
434,"Vegetable oil, palm kernel","Huile végétale, palmiste",0.09214
435,"Vegetable oil, poppyseed","Huile végétale, graines de pavot",0.09214
436,"Vegetable oil, grapeseed","Huile végétale, pépins de raisin",0.09214
437,"Vegetable oil, corn","Huile végétale, maïs",0.9214
438,"Animal fat, mutton tallow","Gras animal, suif de mouton (gras de mouton)",0.1
439,"Vegetable oil, walnut","Huile végétale, noix",0.09214
440,"Vegetable oil, almond","Huile végétale, amande",0.09214
441,"Vegetable oil, apricot kernel","Huile végétale, noyaux d'abricots",0.09214
442,"Vegetable oil, soybean lecithin","Huile végétale, lécithine de soya",0.09214
443,"Vegetable oil, hazelnut","Huile végétale, noisette",0.09214
444,"Vegetable oil, babassu","Huile végétale, babassu",0.09214
445,"Animal fat, chicken","Gras animal, poulet",0.08664
446,"Shortening, household, soybean (hydrogenated) and palm","Shortening, domestique, huile de soya (hydrogénée) et palme",0.1
447,"Animal fat, duck","Gras animal, canard",0.1
448,"Animal fat, turkey","Gras animal, dinde",0.1
449,"Animal fat, goose","Gras animal, oie",0.1
450,"Vegetable oil, avocado","Huile végétale, avocat",0.09214
451,"Vegetable oil, canola","Huile végétale, canola (colza)",0.09214
452,"Vegetable oil, mustard","Huile végétale, moutarde",0.1
453,"Vegetable oil, sunflower, oleic (70% and over)","Huile végétale, tournesol, acide oléique (70% et plus)",0.1
454,"Shortening, special purpose, cake and icing (frosting)","Shortening, usagé déterminé, gâteau et glaçage",0.1
455,"Shortening, special purpose, baking","Shortening, usage déterminé, cuisson",0.1
456,"Vegetable oil, oat","Huile végétale, avoine",0.09214
457,"Fish oil, cod liver","Huile de poisson, foie de morue",0.09214
458,"Fish oil, herring","Huile de poisson, hareng",0.09214
459,"Fish oil, menhaden","Huile de poisson, menhaden",0.09214
460,"Fish oil, menhaden, fully hydrogenated","Huile de poisson, menhaden, entièrement hydrogénée",0.08664
461,"Fish oil, salmon","Huile de poisson, saumon",0.09214
462,"Fish oil, sardine","Huile de poisson, sardine",0.09214
463,"Shortening, multipurpose, hydrogenated soybean and palm","Shortening, tout usage, soya et palme hydrogéné",0.1
464,"Animal fat, lard (pork)","Gras animal, saindoux (porc)",0.1
523,"Shortening, industrial, for frying (liquid), soybean","Shortening, industriel, friture (liquide), soya",2.3035
524,"Salad dressing, russian, commercial, regular","Vinaigrette, russe, commerciale, régulière",0.31066
525,"Salad dressing, russian, commercial, low calorie","Vinaigrette, russe, commerciale, hypocalorique",0.32967
526,"Salad dressing, thousand island, commercial, regular","Vinaigrette, mille îles, commerciale, régulière",0.31699
527,"Salad dressing, mayonnaise type, commercial, regular","Vinaigrette, type mayonnaise, commerciale, régulière",2.48309
528,"Salad dressing, french, commercial, low calorie","Vinaigrette, française, commerciale, hypocalorique",0.32967
529,"Salad dressing, italian, commercial, low Calorie","Vinaigrette, italienne, commerciale, hypocalorique",0.30431
530,"Salad dressing, thousand island, commercial, low calorie","Vinaigrette, commerciale, mille Îles, hypocalorique",0.31065
531,"Salad dressing, mayonnaise, commercial, regular","Vinaigrette, mayonnaise, commerciale, régulière",0.2797
532,"Salad dressing, italian, commercial, regular","Vinaigrette, italienne, commerciale, régulière",0.29797
533,"Salad dressing, french, commercial, regular","Vinaigrette, française, commerciale, régulière",0.31699
534,"Salad dressing, blue or roquefort cheese, commercial, regular","Vinaigrette, fromage bleu ou roquefort, commerciale, régulière",0.31065
535,"Animal fat, native, seal oil","Gras animal,  autochtone, huile de phoque",0.0959
539,"Shortening, household, unspecified vegetable and animal oils","Shortening, domestique, huiles végétales et animales non précisées",0.1
540,"Shortening, industrial, for frying (liquid), canola","Shortening, industriel, friture (liquide), canola",0.0459
541,"Shortening, industrial, for frying (solid), canola","Shortening, industriel, friture (solide), canola",0.1
542,"Shortening, industrial, for frying (solid), soybean","Shortening, industriel, friture (solide), soya",0.1
543,"Shortening, industrial, for baking (cake), canola","Shortening, industriel, pour cuisson (gâteau), canola",0.1
544,"Shortening, industrial, for baking (cake), soybean","Shortening, industriel, pour cuisson (gâteau), soya",0.1
545,"Shortening, industrial, for baking (pastry), canola","Shortening, industriel, pour cuisson (pâtisserie), canola",0.1
546,"Shortening, industrial, for baking (pastry), soybean","Shortening, industriel, pour cuisson (pâtisserie), soya",0.1
547,"Shortening, industrial, all purpose, soy and palm","Shortening, industriel, tout usage, soya et palme",0.1
548,"Shortening, industrial, all purpose, canola and palm","Shortening, industriel, tout usage, canola et palme",0.1
550,"Spread, 20% butter / 80% canola oil","Tartinade, mélange, 20% beurre / 80% canola oil",0.04704
552,"Shortening, household, unspecified vegetable oil","Shortening, domestique, huile végétale non précisée",0.1
555,"Chicken, broiler, meat, skin, giblets and neck, raw","Poulet à griller, viande, peau, abats et cou, cru",1.25
556,"Chicken, broiler, meat, skin, giblets and neck, batter dipped, fried","Poulet à griller, viande, peau, abats et cou, pâte à frire, frits",1.0
557,"Chicken, broiler, meat, skin, giblets and neck, flour coated, fried","Poulet à griller, viande, peau, abats et cou, enfarinés, frits",1.0
558,"Chicken, broiler, meat, skin, giblets and neck, roasted","Poulet à griller, viande, peau, abats et cou, rôtis",1.0
559,"Chicken, broiler, meat, skin, giblets and neck, stewed","Poulet à griller, viande, peau, abats et cou, à l'étuvée",1.0
560,"Chicken, broiler, meat and skin, raw","Poulet à griller, viande et peau, crues",1.25
561,"Chicken, broiler, meat and skin, batter dipped, fried","Poulet à griller, viande et peau, pâte à frire frites",1.0
562,"Chicken, broiler, meat and skin, flour coated, fried","Poulet à griller, viande et peau, enfarinées, frites",1.0
563,"Chicken, broiler, meat and skin, roasted","Poulet à griller, viande et peau, rôti",1.0
564,"Chicken, broiler, meat and skin, stewed","Poulet à griller, viande et peau, à l'étuvée",1.4265
565,"Chicken, broiler, meat only, raw","Poulet à griller, viande seulement, cru",1.25
566,"Chicken, broiler, meat only, fried","Poulet à griller, viande seulement, frite",1.42645
567,"Chicken, broiler, meat only, roasted","Poulet à griller, viande seulement, rôti",1.42645
568,"Chicken, broiler, meat only, stewed","Poulet à griller, viande seulement, à l'étuvée",1.42645
569,"Chicken, broiler, skin only, batter dipped, fried","Poulet à griller, peau seulement, pâte à frire, frit",0.55
570,"Chicken, broiler, skin only, flour coated, fried","Poulet à griller, peau seulement, enfariné, frit",0.55
571,"Chicken, broiler, giblets, raw","Poulet à griller, abats, cru",1.25
572,"Chicken, broiler, giblets, flour coated, fried","Poulet à griller, abats, enfariné, frit",1.0
573,"Chicken, broiler, giblets, simmered","Poulet à griller, abats, mijoté",1.0
574,"Chicken, broiler, gizzard, raw","Poulet à griller, gésier, cru",1.25
575,"Chicken, broiler, gizzard, simmered","Poulet à griller, gésier, mijoté",1.0
576,"Chicken, broiler, heart, raw","Poulet à griller, coeur, cru",1.25
577,"Chicken, broiler, heart, simmered","Poulet à griller, coeur, mijoté",1.0
578,"Chicken, broiler, liver, raw","Poulet à griller, foie, cru",1.25
579,"Chicken, broiler, liver, simmered","Poulet à griller, foie, mijoté",1.0
580,"Chicken, broiler, light meat and skin, raw","Poulet à griller, viande blanche et peau, cru",1.25
581,"Chicken, broiler, light meat and skin, batter dipped, fried","Poulet à griller, viande blanche et peau, pâte à frire, frit",1.42645
582,"Chicken, broiler, light meat and skin, flour coated, fried","Poulet à griller, viande blanche et peau, enfarinées, frit",1.42645
583,"Chicken, broiler, light meat and skin, roasted","Poulet à griller, viande blanche et peau, rôti",1.42645
584,"Chicken, broiler, light meat and skin, stewed","Poulet à griller, viande blanche et peau,  à l'étuvée",1.42645
585,"Chicken, broiler, dark meat and skin, raw","Poulet à griller, viande brune et peau, cru",1.25
586,"Chicken, broiler, dark meat and skin, batter dipped, fried","Poulet à griller, viande brune et peau, pâte à frire, frit",1.42645
587,"Chicken, broiler, dark meat and skin, flour coated, fried","Poulet à griller, viande brune et peau, enfarinées, frit",1.42645
588,"Chicken, broiler, dark meat and skin, roasted","Poulet à griller, viande brune et peau, rôties",1.42645
589,"Chicken, broiler, dark meat and skin, stewed","Poulet à griller, viande brune et peau, à l'étuvée",1.42645
590,"Chicken, broiler, light meat, raw","Poulet à griller, viande blanche, crue",1.42645
591,"Chicken, broiler, light meat, fried","Poulet à griller, viande blanche, frite",1.42645
592,"Chicken, broiler, light meat, roasted","Poulet à griller, viande blanche, rôtie",1.42645
593,"Chicken, broiler, light meat, stewed","Poulet à griller, viande blanche,  à l'étuvée",1.42645
594,"Chicken, broiler, dark meat, raw","Poulet à griller, viande brune, crue",1.25
595,"Chicken, broiler, dark meat, fried","Poulet à griller, viande brune, frite",1.42645
596,"Chicken, broiler, dark meat, roasted","Poulet à griller, viande brune, rôtie",1.42645
597,"Chicken, broiler, dark meat, stewed","Poulet à griller, viande brune, à l'étuvée",1.42645
598,"Chicken, broiler, back, meat and skin, batter dipped, fried","Poulet à griller, dos, viande et peau, pâte à frire, frit",1.42645
599,"Chicken, broiler, back, meat and skin, flour coated, fried","Poulet à griller, dos, viande et peau, enfarinées, frit",1.42645
600,"Chicken, broiler, back, meat, fried","Poulet à griller, dos, viande, frit",1.42645
601,"Chicken, broiler, breast, meat and skin, batter dipped, fried","Poulet à griller, poitrine, viande et peau, pâte à frire, frit",1.42645
602,"Chicken, broiler, breast, meat and skin, flour coated, fried","Poulet à griller, poitrine, viande et peau, enfariné, frit",1.42645
603,"Chicken, broiler, breast, meat, fried","Poulet à griller, poitrine, viande, frit",1.42645
604,"Chicken, broiler, drumstick, meat and skin, batter dipped, fried","Poulet à griller, pilon, viande et peau, pâte à frire, frit",1.42645
605,"Chicken, broiler, drumstick, meat and skin, flour coated, fried","Poulet à griller, pilon, viande et peau, enfarinées, frit",1.42645
606,"Chicken, broiler, drumstick, meat, fried","Poulet à griller, pilon, viande, frit",1.42645
607,"Chicken, broiler, leg, meat and skin, raw","Poulet à griller, cuisse, viande et peau, cru",1.25
608,"Chicken, broiler, leg, meat and skin, batter dipped, fried","Poulet à griller, cuisse, viande et peau, pâte à frire, frit",1.42645
609,"Chicken, broiler, leg, meat and skin, flour coated, fried","Poulet à griller, cuisse, viande et peau, enfariné, frit",1.42645
610,"Chicken, broiler, leg, meat and skin, roasted","Poulet à griller, cuisse, viande et peau, rôti",1.42645
611,"Chicken, broiler, leg, meat and skin, stewed","Poulet à griller, cuisse, viande et peau, à l'étuvée",1.4265
612,"Chicken, broiler, leg, meat, raw","Poulet à griller, cuisse, viande, cru",1.25
613,"Chicken, broiler, leg, meat, fried","Poulet à griller, cuisse, viande, frit",1.42645
614,"Chicken, broiler, leg, meat, roasted","Poulet à griller, cuisse, viande, rôti",1.42645
615,"Chicken, broiler, leg, meat, stewed","Poulet à griller, cuisse, viande, à l'étuvée",1.42645
616,"Chicken, broiler, neck, meat and skin, raw","Poulet à griller, cou, viande et peau, cru",1.25
617,"Chicken, broiler, neck, meat and skin, batter dipped, fried","Poulet à griller, neck, viande et peau, pâte à frire, frit",1.42645
618,"Chicken, broiler, neck, meat and skin, flour coated, fried","Poulet à griller, neck, viande et peau, enfariné, frit",1.42645
619,"Chicken, broiler, neck, meat and skin, simmered","Poulet à griller, neck, viande et peau, mijoté",1.42645
620,"Chicken, broiler, neck, meat, raw","Poulet à griller, cou, viande, cru",1.25
621,"Chicken, broiler, neck, meat, fried","Poulet à griller, cou, viande, frit",1.42645
622,"Chicken, broiler, neck, meat, simmered","Poulet à griller, viande, mijoté",1.42645
623,"Chicken, broiler, thigh, meat and skin, batter dipped, fried","Poulet à griller, haut de cuisse, viande et peau, pâte à frire, frit",1.42645
